Student_ID,Gender,Age,Previous_Marks,Study_Hours_Per_Day,Attendance_Percentage,Family_Income,Tuition,Extra_Activities,Sleep_Hours,Screen_Time_Hours,Subject_Interest,Teacher_Rating,School_Type,Transport_Mode,Final_Marks
S001,Male,16,75,4,85,45000,Yes,Sports,7,3,High,Good,Public,Bus,78
S002,Female,17,82,6,92,65000,Yes,Music,8,2,High,Excellent,Private,Car,85
S003,Male,15,68,,78,35000,No,None,6,5,Medium,Average,Public,Walk,72
S004,Female,16,88,7,95,80000,Yes,Drama,8,1,High,Excellent,Private,Car,92
S005,Male,17,45,2,65,25000,No,Sports,5,6,Low,Poor,Public,Bus,48
S006,Female,15,79,5,88,55000,Yes,Art,7,3,High,Good,Private,Bus,82
S007,Male,16,71,3,75,40000,No,None,6,4,Medium,Average,Public,Walk,74
S008,Female,17,85,6,90,75000,Yes,Music,8,2,High,Excellent,Private,Car,89
S009,Male,15,52,2,70,30000,No,Sports,5,5,Low,Poor,Public,Bus,55
S010,Female,16,76,4,82,50000,Yes,Drama,7,3,Medium,Good,Public,Car,79
S011,Male,17,89,7,96,75000,Yes,None,8,1,High,Excellent,Private,Car,94
S012,Female,15,63,3,73,32000,,Art,6,4,Medium,Average,Public,Walk,66
S013,Male,16,77,5,87,58000,Yes,Sports,7,2,High,Good,Private,Bus,81
S014,Female,17,41,1,62,22000,No,None,4,7,Low,Poor,Public,Walk,44
S015,Male,15,84,6,94,70000,Yes,Music,8,2,High,Excellent,Private,Car,87
S016,Female,16,69,3,76,38000,No,Drama,6,4,Medium,Average,Public,Bus,72
S017,Male,17,78,5,86,52000,Yes,Sports,7,3,High,Good,Public,Car,80
S018,Female,15,56,2,68,28000,No,None,5,6,Low,Poor,Public,Walk,59
S019,Male,16,81,6,91,62000,Yes,Art,8,2,High,Excellent,Private,Bus,84
S020,Female,17,74,4,80,46000,Yes,Music,7,3,Medium,Good,Public,Car,77
S021,Male,15,66,3,72,34000,No,Sports,6,5,Medium,Average,Public,Bus,69
S022,Female,16,87,7,93,72000,Yes,Drama,8,1,High,Excellent,Private,Car,91
S023,Male,17,49,2,66,26000,No,None,5,6,Low,Poor,Public,Walk,52
S024,Female,15,73,4,83,48000,,Art,7,3,Medium,Good,Public,Bus,76
